"ZA8"	"ZB12"	"ZC16"	"ZD1"	"ZC1"	"ZB14"	"LM25"	"LM12"	"LM18"	"LM24"	"LM4"	"LM13"	"ZA1"	"LM10"	"LM28"	"LM19"	"ZC14"	"ZC8"	"ZC7"	"ZC10"	"ZC13"	"ZB9"	"LM6"	"ZC20"	"ZB2"	"LM30"	"LM7"	"LM11"	"ZC2"	"ZB3"	"ZA5"	"ZB6"	"ZB10"	"ZC21"	"ZB8"	"ZA4"	"LM22"	"ZA6"	"ZB15"	"ZC9"	"ZC12"	"LM20"	"LM16"	"ZC19"	"ZC3"	"ZC11"	"ZB1"	"ZC15"	"LM23"	"ZC6"	"ZD2"
"Faecalibacterium prausnitzii"	143	0	31	1	65	59	32	0	65	26	20	33	59	4	40	6	61	11	9	52	50	14	3	39	3	14	1	0	47	0	1	8	2	35	32	181	0	1	0	43	21	14	1	28	33	102	42	130	9	21	24
"Bacteroides vulgatus"	98	4	110	0	10	69	26	58	98	39	85	80	25	4	298	2	62	42	58	172	142	91	54	361	4	59	15	0	3	105	22	20	0	120	340	411	103	5	2	134	22	33	0	57	141	24	156	33	60	103	420
"Fusobacterium nucleatum"	78	1	7	0	1	13	24	127	34	5	0	12	0	49	35	5	0	127	0	6	0	3	207	0	385	0	8	0	51	0	28	1	350	2	5	4	1	125	127	0	2	34	32	14	2	0	0	32	207	96	0
"Ruminococcus bicirculans"	78	0	6	0	11	14	0	0	0	1	0	0	0	0	0	0	2	0	2	85	0	0	0	0	0	0	0	0	2	3	0	0	0	1	0	0	0	0	0	0	24	0	0	6	0	20	0	3	0	0	0
"Bacteroides fragilis"	85	121	0	0	38	0	36	127	109	145	1	66	3	155	114	5	0	125	3	55	1	21	509	15	173	260	11	249	2	328	287	5	149	44	4	5	146	19	162	80	199	143	0	160	3	2	57	28	143	44	4
"Roseburia hominis"	54	0	0	0	0	0	10	3	49	0	0	15	22	2	0	0	0	16	3	36	36	0	3	0	1	3	0	1	0	18	7	1	1	16	0	22	3	0	7	0	5	0	0	8	0	29	6	24	0	0	0
"Anaerostipes hadrus"	55	0	0	0	32	11	0	0	12	0	0	9	0	4	6	0	21	0	0	20	0	10	1	0	1	0	0	5	51	0	0	2	2	0	27	0	0	0	0	0	31	0	1	0	0	87	25	23	0	0	26
"[Eubacterium] rectale"	45	0	74	0	45	0	32	0	0	0	0	0	357	38	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	84	13	0	158	0	37	0	0	0	63	0	0	2	0	0	142	0	0	0	0	161
"Acinetobacter pittii"	29	47	14	165	3	11	0	0	1	0	1	0	41	0	0	0	22	7	54	1	35	5	0	2	3	0	0	0	61	13	32	0	12	2	3	6	0	1	13	36	24	0	0	12	28	5	3	6	0	5	12
"Stenotrophomonas maltophilia"	28	94	26	255	21	27	0	0	0	0	3	0	38	0	0	0	66	6	40	3	36	6	0	4	9	0	0	0	103	52	36	1	34	5	18	15	0	0	30	40	12	0	0	33	56	3	17	14	0	29	15
"Bacteroides caccae"	18	1	17	0	2	17	4	24	1	103	8	58	5	0	2	2	78	7	15	16	17	13	1	56	2	7	1	10	0	3	0	0	0	3	99	2	8	7	4	0	8	5	1	5	17	0	43	4	11	8	17
"Odoribacter splanchnicus"	26	0	7	0	17	0	8	0	30	12	8	35	80	7	0	1	57	0	0	33	60	10	3	17	2	12	2	0	4	0	0	0	1	19	5	3	3	8	0	0	5	0	1	2	18	12	2	10	3	3	0
"Bacteroides ovatus"	14	4	8	0	17	8	2	7	20	69	7	30	14	11	29	19	11	10	3	19	49	78	2	93	31	6	1	2	4	22	6	0	5	105	118	11	6	50	8	15	11	3	19	14	7	12	46	33	12	3	21
"Bacteroides dorei"	14	0	10	1	89	77	0	15	20	295	9	37	73	1	190	35	12	8	12	33	16	16	13	35	8	6	2	5	2	42	5	3	0	59	47	84	12	3	7	247	11	19	5	6	27	52	23	135	16	17	78
"Collinsella aerofaciens"	19	1	23	0	0	5	6	2	26	10	0	16	26	2	1	0	8	0	3	23	23	0	0	0	0	1	0	0	10	0	1	3	5	10	0	31	2	3	0	30	14	6	0	0	8	27	37	0	1	13	0
"Flavonifractor plautii"	11	0	2	0	0	4	0	0	5	8	0	3	0	2	4	0	4	2	1	5	42	3	2	4	0	3	0	4	0	14	4	1	3	1	9	7	6	0	11	0	0	5	0	1	1	11	0	6	51	1	10
"Cutibacterium acnes"	13	21	3	11	5	6	2	1	7	0	15	0	28	2	11	0	9	30	201	2	0	1	0	1	0	2	3	0	21	2	3	0	3	2	1	5	0	0	14	24	4	5	0	7	124	0	2	7	0	1	7
"Parvimonas micra"	15	20	16	0	0	59	64	66	33	5	0	28	0	69	32	42	0	116	0	9	1	0	15	0	13	0	22	4	1	0	6	3	27	2	0	0	56	143	1	3	1	119	57	42	0	0	1	2	55	9	0
"[Eubacterium] eligens"	12	0	8	0	1	10	8	0	18	0	0	0	0	0	0	1	17	2	5	17	0	0	0	47	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	78	0	5	0	1	0
"Escherichia coli"	11	1	88	46	0	1	7	13	43	4	12	17	1	0	36	0	2	14	15	4	7	1	4	0	13	7	4	122	52	19	4	192	6	0	5	0	43	0	43	21	0	45	2	11	51	0	6	12	2	34	1
"Parabacteroides distasonis"	9	9	20	0	39	8	27	7	13	51	5	15	0	12	30	5	27	3	9	10	15	9	5	153	1	0	1	0	6	23	2	0	0	9	0	11	7	1	7	14	4	10	0	7	14	15	52	7	12	3	30
"Desulfovibrio piger"	8	0	18	0	0	0	0	0	1	0	0	14	0	0	0	0	27	0	0	1	0	0	0	0	0	0	0	0	12	6	0	3	0	0	0	14	2	0	0	0	0	5	0	0	0	0	0	0	2	0	0
"Bacteroides caecimuris"	7	2	5	0	0	4	3	3	8	27	0	9	7	3	13	2	10	10	2	8	21	13	7	42	8	1	4	4	4	9	0	0	0	28	31	0	2	25	4	5	0	0	8	7	6	6	27	17	11	2	15
"Comamonas thiooxydans"	3	14	3	41	3	3	0	0	0	0	0	0	7	0	0	0	4	2	9	0	5	0	0	0	0	0	0	0	10	7	10	0	7	0	2	0	0	0	2	4	1	0	0	2	2	0	3	1	0	3	2
"Acidaminococcus intestini"	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
"Streptococcus oralis"	6	5	0	0	0	2	0	5	1	1	0	1	0	0	0	0	3	0	1	1	5	3	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	1	1	2	8	0	0	3	4	0	0	0	14	0
"Alistipes finegoldii"	6	1	6	0	18	0	4	0	0	13	4	67	6	0	4	1	0	0	2	16	42	9	4	16	0	68	0	0	1	0	1	0	0	0	5	6	0	1	0	0	0	3	0	0	11	6	19	9	0	0	21
"Bacteroides thetaiotaomicron"	3	1	14	0	36	25	33	18	13	29	10	45	22	38	49	91	26	51	5	6	77	46	11	29	3	22	5	52	8	60	2	0	1	11	20	7	24	527	133	27	2	6	5	26	23	30	162	8	25	2	53
"Acinetobacter lactucae"	4	11	0	33	3	0	0	0	0	0	0	0	6	0	0	0	5	5	21	1	11	2	0	0	1	0	0	0	14	2	12	0	0	1	3	1	0	0	1	14	3	0	0	2	9	0	1	1	0	1	5
"Fusobacterium varium"	3	0	0	0	0	0	0	13	0	31	1	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	1	1	18	0	45	1	16	0	0	0	84	0	0	2	0	1	1	0	1	0	0
"Bacteroides salanitronis"	4	0	2	0	0	0	0	0	3	6	0	0	7	1	2	2	3	2	0	4	1	1	0	3	3	2	2	1	1	3	0	0	1	5	0	14	0	1	3	1	0	2	0	0	2	8	3	5	2	0	0
"Bacteroides cellulosilyticus"	2	0	0	0	117	4	0	6	2	11	0	0	5	20	1	1	22	7	1	18	0	136	3	36	4	0	1	3	0	3	2	2	1	162	21	0	4	4	11	2	5	4	0	3	1	58	38	5	0	3	17
"Streptococcus suis"	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	0	0	0
"Acinetobacter oleivorans"	3	2	1	16	1	0	0	0	0	0	0	0	6	0	0	0	2	3	6	0	5	0	0	0	1	0	0	0	8	2	8	0	2	0	0	0	0	0	0	7	3	0	0	1	4	2	0	1	0	0	2
"Streptococcus anginosus"	2	8	0	0	0	2	0	1	0	0	0	0	0	0	0	4	6	1	0	0	1	1	2	0	0	0	0	0	0	0	0	0	2	0	16	0	0	3	91	2	67	2	7	0	15	3	1	0	0	0	0
"Pseudomonas mosselii"	4	6	2	21	3	2	0	0	0	0	0	0	4	0	0	0	3	1	10	0	7	1	0	0	0	0	0	0	9	2	6	0	2	1	0	1	0	0	3	4	4	0	0	1	2	3	1	2	0	4	2
"Pseudomonas antarctica"	3	2	0	2	2	0	1	1	0	2	18	0	2	1	2	0	1	0	11	1	2	1	0	0	0	3	0	0	5	2	1	0	2	0	2	0	0	0	1	3	1	1	0	1	9	0	1	0	1	0	0
"Proteus mirabilis"	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	1	0	0	0	0
"Mycobacterium paragordonae"	3	0	0	8	1	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1
"Acinetobacter johnsonii"	4	2	0	17	0	0	0	0	0	0	0	0	4	0	0	1	5	1	12	0	6	0	0	0	0	0	0	0	3	3	2	0	3	0	1	1	0	0	0	11	1	5	0	1	2	0	0	0	0	1	1
"Acinetobacter baumannii"	4	6	0	10	0	1	1	2	1	1	0	2	3	1	0	0	0	0	11	0	8	0	0	0	1	0	0	0	4	1	3	1	1	0	0	0	0	0	0	5	0	0	0	5	0	0	1	0	0	1	3
"Pseudomonas azotoformans"	3	8	2	12	1	1	0	0	0	1	16	1	2	0	0	0	2	1	2	0	2	0	1	1	0	1	0	1	9	1	1	0	2	0	2	4	0	0	0	6	2	0	0	3	4	1	0	0	0	2	2
"Fusobacterium periodonticum"	5	3	1	0	0	1	66	10	3	19	0	1	0	211	2	0	0	3	0	0	1	12	21	0	10	1	53	0	2	1	136	2	16	0	0	0	0	26	96	1	0	97	2	54	1	0	0	2	107	356	0
"Bifidobacterium longum"	2	0	0	0	0	0	3	0	0	0	0	7	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	3	0	0
"Acinetobacter nosocomialis"	2	3	0	7	0	3	0	0	0	0	0	0	3	0	0	0	0	2	14	0	2	0	0	0	1	0	0	0	6	1	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1
"Prevotella melaninogenica"	2	2	0	0	0	0	1	4	1	0	1	0	0	1	0	1	0	0	1	2	0	0	1	0	0	3	1	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	2	0	6	0	0	3	1	0
"Prevotella fusca"	1	2	3	0	0	2	3	1	3	0	0	1	3	2	0	4	3	0	0	2	0	1	0	0	0	0	0	0	4	0	2	0	2	1	0	0	3	0	0	1	0	1	5	1	4	8	0	2	2	0	0
"Fusobacterium hwasookii"	1	0	0	0	0	3	7	24	6	3	0	15	0	22	3	2	0	24	0	0	0	0	33	0	36	0	4	0	12	0	16	0	41	0	1	0	0	71	13	0	1	12	7	6	0	0	1	11	26	37	0
"Streptococcus salivarius"	3	0	7	0	0	1	0	0	0	3	0	2	7	0	0	0	97	0	2	5	0	1	0	0	0	0	1	1	1	3	0	0	0	0	0	1	0	0	0	12	3	3	0	1	16	55	2	0	0	0	1
"Eikenella corrodens"	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	25	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	38	0	0	0	0	0	0	0	1	0
"Variovorax paradoxus"	3	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
"Variovorax boronicumulans"	1	1	0	8	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	1	1	0	3	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1
"Streptococcus porcinus"	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0
"Streptococcus mitis"	1	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	4	1	0	1	5	2	0	0	0	0	1	0	3	0	1	0	0	0	0	0	0	1	0	2	0	3	0	0	0	7	0	0	0	1	0
"Staphylococcus epidermidis"	2	0	0	1	0	0	0	1	1	0	0	0	3	0	0	0	0	1	12	0	1	0	0	0	0	0	1	0	6	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
