"names"	"group"
"ZA8"	"group1"
"ZB12"	"group2"
"ZC16"	"group3"
"ZD1"	"group4"
"ZC1"	"group3"
"ZB14"	"group2"
"LM25"	"group4"
"LM12"	"group1"
"LM18"	"group4"
"LM24"	"group4"
"LM4"	"group1"
"LM13"	"group1"
"ZA1"	"group1"
"LM10"	"group1"
"LM28"	"group4"
"LM19"	"group4"
"ZC14"	"group3"
"ZC8"	"group3"
"ZC7"	"group3"
"ZC10"	"group3"
"ZC13"	"group3"
"ZB9"	"group2"
"LM6"	"group1"
"ZC20"	"group3"
"ZB2"	"group2"
"LM30"	"group3"
"LM7"	"group1"
"LM11"	"group1"
"ZC2"	"group3"
"ZB3"	"group2"
"ZA5"	"group1"
"ZB6"	"group2"
"ZB10"	"group2"
"ZC21"	"group3"
"ZB8"	"group2"
"ZA4"	"group1"
"LM22"	"group4"
"ZA6"	"group1"
"ZB15"	"group2"
"ZC9"	"group3"
"ZC12"	"group3"
"LM20"	"group4"
"LM16"	"group4"
"ZC19"	"group3"
"ZC3"	"group3"
"ZC11"	"group3"
"ZB1"	"group2"
"ZC15"	"group4"
"LM23"	"group4"
"ZC6"	"group3"
"ZD2"	"group4"
