species	ZA8	ZG1	ZB12	ZA3	LM3	ZC16	ZE7	LM14	ZF5	ZD1	ZE2	ZB4	ZC1	ZB14	LM1	LM25	LM26	ZH3	LM12	ZE8	LM18	ZA7	ZF4	LM24	ZG4	LM29	ZH2	LM4	ZC5	ZE6	LM13	ZE4	ZF7	ZA1	LM10	ZF8	LM28	ZC4	LM19	ZC14	ZC8	ZC7	ZC18	ZC10	ZF6	ZC13	ZB9	LM6	LM21	ZF2	LM15	ZC20	ZG3	ZB13	ZB2	LM30	LM7	LM17	LM11	ZB7	LM27	ZC2	ZB3	ZA5	ZC17	ZB6	LM8	ZB10	LM9	ZF1	ZE3	ZC22	ZC21	ZB8	ZA2	ZB11	ZA4	LM22	ZA6	LM5	ZB15	ZG2	ZC9	ZC12	ZH1	LM20	ZB5	ZE1	ZE5	LM16	ZC19	ZC3	ZF3	ZC11	ZB1	ZC15	LM23	LM2	ZC6	ZD2
Faecalibacterium prausnitzii	376	3	0	4	13	102	30	5	1	3	8	16	287	263	0	119	17	4	0	0	237	13	0	30	204	963	25	76	0	0	132	2	5	214	32	116	91	2	23	61	112	25	2	1163	59	189	441	6387	2	0	16	923	51	5	12	46	4	3	0	10	0	151	0	22	0	256	4	4	0	53	3	0	178	70	4	0	667	0	272	14	0	32	143	183	100	21	4	294	0	242	32	47	1131	2737	152	272	160	1	49	206
Bacteroides vulgatus	261	25	4	73	38	251	6	2	7	0	532	93	77	262	41	123	116	70	59	19	334	29	4	45	1491	3005	28	344	36	3	295	19	51	73	38	86	859	5	20	62	396	139	0	3686	117	492	3234	62268	25	193	461	9377	102	33	40	144	60	88	0	91	694	14	120	84	10	953	0	1	5	29	9	46	500	689	7	119	1420	594	813	17	21	231	413	256	74	56	9	1143	1	1074	69	183	5488	599	591	69	982	50	253	3419
Fusobacterium nucleatum	243	0	1	46	1	17	0	1	0	0	0	0	9	34	0	70	27	0	129	132	154	2	0	5	2	2	2	0	3	0	41	0	0	1	438	0	112	0	16	0	1171	0	41	185	14	1	79	271381	45	0	1	7	0	29	3526	0	47	0	5	1	230	131	0	94	153	46	6	929	1	64	0	1	6	7	202	1	8	7	31259	31	565	1	0	26	23	56	3	0	0	10255	17	2	1239	1	0	67	3120	0	251	0
Ruminococcus bicirculans	218	0	0	0	0	9	0	0	0	0	0	1	50	60	0	5	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	2	0	9	1	1687	0	1	14	121	1	0	0	0	0	0	0	0	1	0	0	15	0	6	3	0	0	7	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0	0	0	7	0	6	561	0	3	0	0	0	0
Bacteroides fragilis	208	0	136	46	39	0	0	24	1	0	69	0	181	6	0	165	353	0	129	2521	371	46	2	171	12	28	2	3	1	0	212	0	7	6	1257	43	270	1	21	0	1380	7	31	1055	1	6	564	590728	5	13	599	298	3	20	1729	643	69	2	840	7	627	5	371	1131	208	261	6	315	271	1	1	18	197	5	10	1	24	749	2958	75	830	69	251	1780	1	213	8	4	0	136	203	3	1702	87	187	62	2296	1	103	35
Roseburia hominis	141	1	0	3	0	0	0	1	0	0	0	16	0	0	0	34	0	0	3	1043	186	11	0	0	106	106	6	0	0	0	47	3	0	81	13	18	0	0	0	0	169	10	0	769	91	116	0	6222	0	39	13	0	0	0	8	6	4	0	10	1	0	0	21	26	7	118	0	6	0	87	1	1	56	0	1	3	84	22	184	0	21	0	0	78	0	0	0	0	0	279	11	0	125	1083	20	56	0	0	0	0
Anaerostipes hadrus	130	0	0	12	2	0	0	1	0	0	24	10	127	49	1	0	0	2	0	1274	39	0	0	0	92	66	18	0	0	0	23	1	4	0	19	23	13	1	7	21	0	0	1	232	0	0	412	2248	0	143	0	0	0	0	7	2	7	0	16	0	25	144	0	0	7	120	0	3	0	0	0	0	0	54	2	1	0	0	152	0	0	0	0	194	0	0	0	32	0	134	0	0	302	2347	92	52	0	2	0	255
[Eubacterium] rectale	111	0	0	0	0	200	0	0	0	0	0	0	226	0	0	121	0	0	0	0	0	0	0	0	1530	113	0	0	0	0	0	0	0	1085	348	0	0	0	0	0	0	0	0	3148	939	0	0	3445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	292	0	591	0	0	0	0	0	0	708	0	0	0	125	0	0	0	0	0	233	0	0	0	0	0	0	110	0	0	353	3727	0	0	0	0	0	1360
Acinetobacter pittii	83	306	51	48	0	24	4	0	11	766	116	38	25	47	1	0	0	28	0	428	2	32	6	1	172	0	37	1	23	14	1	54	59	155	0	108	0	35	1	22	67	147	4	48	681	121	108	14	3	230	0	29	476	35	33	0	1	0	0	7	0	192	15	158	26	36	0	38	0	7	24	38	8	7	4	94	19	0	38	0	37	161	155	141	45	0	16	20	92	2	16	42	160	167	19	9	0	1	20	97
Stenotrophomonas maltophilia	69	86	108	63	1	59	19	0	56	1247	114	130	92	88	1	0	0	62	0	264	1	32	30	0	174	2	95	18	59	51	0	113	78	147	0	105	0	115	0	66	63	86	50	79	460	121	272	31	0	340	0	76	168	92	84	0	0	2	0	35	0	289	64	133	72	106	0	102	0	16	68	80	16	32	15	164	48	0	53	0	136	71	133	108	104	0	44	65	219	2	43	73	198	110	63	32	0	1	79	166
