names	group
ZA1	group1
ZA2	group1
ZA3	group1
ZA4	group1
ZA5	group1
ZA6	group1
ZA7	group1
ZA8	group1
LM1	group1
LM2	group1
LM3	group1
LM5	group1
LM4	group1
LM6	group1
LM7	group1
LM8	group1
LM9	group1
LM12	group1
LM10	group1
LM11	group1
LM13	group1
ZB1	group2
ZB2	group2
ZB3	group2
ZB4	group2
ZB5	group2
ZB6	group2
ZB7	group2
ZB8	group2
ZB9	group2
ZB10	group2
ZB11	group2
ZB12	group2
ZB13	group2
ZB14	group2
ZB15	group2
LM14	group2
ZC1	group3
ZC2	group3
ZC3	group3
ZC4	group3
ZC5	group3
ZC6	group3
ZC7	group3
ZC8	group3
ZC9	group3
ZC10	group3
ZC11	group3
ZC12	group3
ZC13	group3
ZC14	group3
ZC16	group3
ZC17	group3
ZC18	group3
ZC19	group3
ZC20	group3
ZC21	group3
ZC22	group3
LM30	group3
ZD1	group4
ZD2	group4
LM16	group4
LM17	group4
LM18	group4
LM19	group4
LM20	group4
LM21	group4
LM22	group4
LM23	group4
LM24	group4
LM25	group4
LM28	group4
ZC15	group4
