tax_id	c5
577	45
470	13
95486	6
482957	49
63745	311
1338	563
54736	6
36630	477
76860	39
146939	213
1747	0
1303	30
39777	320
87883	124
1336	339
300	66
329	2
29466	47
5062	412
53412	87
169292	46
287	138
305	174
316	446
1833	194
551760	5
1008	135
273371	150
984	102
280	156
86049	176
257758	112
1318	131
1302	144
158822	130
573	188
65741	19
1328	7
1354	57
1307	135
259537	189
321662	284
106654	133
86304	103
1549858	113
562	109
2033	172
1085624	110
38301	10
67825	26
1630693	92
104336	5
28129	27
60133	2
37727	117
216778	9
43305	47
40324	33
28449	90
759620	62
82633	96
1148157	22
839	84
347	95
480	40
730	128
34029	47
5059	7
729	24
231932	1
40542	7
1017	17
119219	2
221027	64
354356	32
80869	32
1648404	28
1379870	290
34073	36
192843	114
1283	52
152480	90
31998	0
542	36
777	55
114155	31
397260	14
851	108
187327	22
46124	17
28112	19
185300	18
489	9
818	12
77020	98
69823	90
1313	55
45634	9
342113	39
76775	40
28132	283
28037	0
971	66
1496	48
327575	10
28118	14
1305	71
148447	186
487	10
1902136	30
940615	14
43669	83
589436	82
328814	82
76517	49
53346	61
1018	146
495	2
1382	21
290053	7
85085	56
59505	10
43675	1
187326	23
46125	101
486	40
200	31
907	14
712633	138
93220	7
1314	22
1308	116
539	43
28188	62
150055	19
905	54
1396	3
28264	13
2051	24
36861	46
310514	39
817	48
35814	66
1642646	32
214856	32
652716	281
52773	49
39950	2
66219	36
837	43
1590	24
76122	29
143393	87
252970	27
1282	36
1351	37
28124	0
33033	26
1349	38
301301	81
1648	26
208960	19
208226	37
260714	14
821	14
1661	30
33034	20
1646	30
33952	28
196	19
393921	34
2751	0
826	33
397865	21
137732	0
1329899	23
652787	38
2124	101
870	27
669041	16
2047	7
28131	6
1731	13
93221	16
41976	37
132920	27
1156431	23
43674	49
376805	27
412963	23
1352	39
850	16
712357	10
1355477	9
382	25
80867	49
1723645	17
62140	28
303	11
408	38
575	17
199596	48
7	5
160791	9
76777	15
56426	28
28068	36
74313	14
593909	56
1288	79
370764	6
1938334	30
96345	12
1177712	23
1292	23
28448	22
487316	43
483	27
1311	10
746128	33
28127	7
28134	2
76123	23
5057	8
47678	28
1884263	8
39778	10
53442	22
228603	19
113107	28
182710	28
1255	18
1348	18
712538	31
143361	0
132919	22
823	20
1244531	25
37734	33
1145276	26
554406	25
28116	41
28133	9
84757	15
51669	23
171695	4
37769	26
341694	15
55508	14
1597	22
281920	0
199592	25
248315	23
1476577	19
216816	82
1176649	28
1694	27
28123	33
361575	6
1709381	0
1796613	4
197614	41
558152	27
1304	153
72000	20
1691	19
1511	26
461876	0
380021	15
199	43
1834196	36
84023	28
208596	1
194963	2
1193095	28
334543	26
1681	14
160453	27
386490	9
81462	22
351091	21
1334	0
283734	47
1281	13
520	25
2048654	13
87541	9
90245	59
79885	29
1852377	42
1433126	62
2748	15
824	49
1284	8
1624	42
735	6
264361	16
29360	124
75588	8
1785995	25
481743	15
79880	7
497724	50
28035	21
147709	54
53345	9
519	9
187452	16
78535	1
28031	79
94624	15
61624	12
716	0
28450	28
73919	12
1138822	35
1055487	8
75985	9
718	7
708126	25
302406	24
518	14
1376	19
1245	24
853	6
727	6
732	21
544580	56
2756	13
217204	25
1006155	8
340170	10
421767	0
128944	10
69966	133
485	38
59310	7
519472	48
985002	5
85404	19
67854	2
204773	6
36873	13
1196083	2
1345	0
1534	8
1871025	14
1280	2
29546	14
65058	29
863	11
563	3
82987	19
1366	27
29391	24
29385	68
1010	19
1598	15
1471	9
33964	6
158847	18
1773	36
364410	2
337	22
1306787	32
155077	13
373	15
454171	17
1825069	34
34003	14
5478	25
1085	11
56458	1
44008	5
266	15
552810	5
267818	1
521	30
1449	1
1642	14
171437	2
588932	7
1639	18
223967	17
55518	10
1632	9
1404244	15
330922	32
1599	11
873	3
1270	30
47770	53
80637	3
105560	5
34062	12
133453	27
34085	3
1502	0
1095183	21
1945662	35
5061	5
1515	27
1161942	2
28896	9
39483	4
312306	6
46429	8
1061	19
35760	6
308354	29
37919	2
246787	18
48296	8
332055	5
332056	12
160386	7
1679721	55
596085	2
2702	16
885581	18
48935	6
47715	29
359408	2
47880	10
1246	1
1294143	3
261302	22
353	17
511	0
106590	0
163011	24
136609	34
74829	32
266009	11
75612	7
1252	21
665099	11
42817	0
1158459	3
205844	3
2121	8
1508404	16
1750	20
244366	2
326523	78
423477	32
98403	18
47735	25
655307	5
1076550	9
365349	17
1772	19
1260	4
1131703	16
33203	0
13373	3
1031542	2
584	4
545	4
2025876	22
168471	7
273376	9
28091	1
1400053	13
232259	18
