tax_id	c5
577	26
470	8
95486	3
482957	30
63745	181
1338	338
54736	3
36630	293
76860	19
146939	115
1747	0
1303	18
39777	213
87883	74
1336	201
300	44
329	2
29466	28
5062	253
53412	51
169292	28
287	85
305	107
316	269
1833	117
551760	2
1008	80
273371	93
984	67
280	93
86049	115
257758	65
1318	84
1302	82
158822	68
573	115
65741	12
1328	3
1354	37
1307	83
259537	102
321662	169
106654	81
86304	63
1549858	69
562	65
2033	103
1085624	61
38301	6
67825	21
1630693	54
104336	4
28129	18
60133	2
37727	70
216778	3
43305	27
40324	17
28449	56
759620	36
82633	66
1148157	10
839	52
347	59
480	26
730	78
34029	29
5059	4
729	18
231932	0
40542	5
1017	10
119219	1
221027	36
354356	19
80869	22
1648404	19
1379870	164
34073	22
192843	66
1283	28
152480	58
31998	0
542	22
777	35
114155	20
397260	8
851	67
187327	10
46124	8
28112	9
185300	9
489	5
818	6
77020	55
69823	68
1313	39
45634	5
342113	29
76775	24
28132	173
28037	0
971	38
1496	25
327575	6
28118	7
1305	47
148447	100
487	8
1902136	16
940615	6
43669	49
589436	51
328814	48
76517	31
53346	42
1018	90
495	1
1382	10
290053	5
85085	27
59505	7
43675	0
187326	15
46125	58
486	25
200	18
907	9
712633	90
93220	5
1314	13
1308	75
539	30
28188	39
150055	12
905	33
1396	2
28264	7
2051	17
36861	24
310514	18
817	25
35814	45
1642646	17
214856	26
652716	177
52773	29
39950	2
66219	24
837	31
1590	15
76122	16
143393	46
252970	14
1282	19
1351	21
28124	0
33033	12
1349	21
301301	45
1648	13
208960	10
208226	22
260714	11
821	9
1661	17
33034	10
1646	20
33952	16
196	13
393921	24
2751	0
826	15
397865	10
137732	0
1329899	13
652787	21
2124	62
870	16
669041	10
2047	5
28131	2
1731	8
93221	7
41976	20
132920	15
1156431	15
43674	28
376805	13
412963	14
1352	25
850	7
712357	8
1355477	7
382	16
80867	36
1723645	8
62140	14
303	5
408	26
575	11
199596	35
7	4
160791	7
76777	7
56426	17
28068	23
74313	7
593909	36
1288	49
370764	5
1938334	19
96345	8
1177712	15
1292	12
28448	14
487316	26
483	18
1311	7
746128	20
28127	5
28134	2
76123	12
5057	6
47678	18
1884263	4
39778	6
53442	10
228603	11
113107	18
182710	16
1255	12
1348	14
712538	17
143361	0
132919	13
823	8
1244531	15
37734	17
1145276	13
554406	17
28116	22
28133	4
84757	10
51669	12
171695	4
37769	18
341694	7
55508	8
1597	11
281920	0
199592	15
248315	11
1476577	12
216816	41
1176649	17
1694	16
28123	17
361575	5
1709381	0
1796613	3
197614	20
558152	17
1304	84
72000	13
1691	14
1511	16
461876	0
380021	8
199	22
1834196	20
84023	16
208596	1
194963	1
1193095	10
334543	14
1681	8
160453	15
386490	6
81462	11
351091	11
1334	0
283734	27
1281	9
520	11
2048654	7
87541	8
90245	31
79885	20
1852377	17
1433126	38
2748	9
824	35
1284	4
1624	29
735	4
264361	11
29360	72
75588	3
1785995	17
481743	8
79880	5
497724	35
28035	11
147709	31
53345	4
519	7
187452	13
78535	1
28031	40
94624	12
61624	7
716	0
28450	18
73919	5
1138822	21
1055487	2
75985	5
718	4
708126	14
302406	10
518	10
1376	10
1245	14
853	4
727	2
732	14
544580	36
2756	8
217204	15
1006155	7
340170	6
421767	0
128944	5
69966	86
485	23
59310	3
519472	31
985002	0
85404	11
67854	1
204773	4
36873	9
1196083	2
1345	0
1534	5
1871025	5
1280	1
29546	9
65058	18
863	3
563	2
82987	9
1366	18
29391	16
29385	40
1010	10
1598	7
1471	6
33964	2
158847	13
1773	19
364410	0
337	16
1306787	19
155077	7
373	12
454171	11
1825069	19
34003	9
5478	12
1085	6
56458	0
44008	1
266	9
552810	3
267818	1
521	19
1449	1
1642	9
171437	1
588932	6
1639	12
223967	10
55518	4
1632	5
1404244	8
330922	19
1599	6
873	1
1270	15
47770	34
80637	2
105560	2
34062	9
133453	13
34085	1
1502	0
1095183	13
1945662	16
5061	5
1515	17
1161942	1
28896	5
39483	2
312306	3
46429	6
1061	11
35760	4
308354	15
37919	1
246787	10
48296	4
332055	3
332056	10
160386	5
1679721	38
596085	1
2702	13
885581	10
48935	4
47715	22
359408	1
47880	6
1246	0
1294143	2
261302	12
353	11
511	0
106590	0
163011	13
136609	20
74829	20
266009	10
75612	5
1252	10
665099	9
42817	0
1158459	1
205844	2
2121	2
1508404	7
1750	11
244366	1
326523	55
423477	16
98403	9
47735	17
655307	3
1076550	8
365349	12
1772	14
1260	2
1131703	12
33203	0
13373	3
1031542	1
584	2
545	2
2025876	12
168471	3
273376	4
28091	1
1400053	11
232259	12
