#tax_id	latin_name
577	Raoultella
470	Acinetobacter
95486	Burkholderia
482957	Burkholderia
63745	Sideroxydans
1338	Streptococcus
54736	Salmonella
36630	Aspergillus
76860	Streptococcus
146939	Dechlorosoma
1747	Cutibacterium
1303	Streptococcus
39777	Veillonella
87883	Burkholderia
1336	Streptococcus
300	Pseudomonas
329	Ralstonia
29466	Veillonella
5062	Aspergillus
53412	Pseudomonas
169292	Corynebacterium
287	Pseudomonas
305	Ralstonia
316	Pseudomonas
1833	Rhodococcus
551760	Aromatoleum
1008	Saprospira
273371	Candida
984	Pedobacter
280	Xanthobacter
86049	Cladophialophora
257758	Streptococcus
1318	Streptococcus
1302	Streptococcus
158822	Cedecea
573	Klebsiella
65741	Pseudomonas
1328	Streptococcus
1354	Enterococcus
1307	Streptococcus
259537	Dechloromonas
321662	Pseudomonas
106654	Acinetobacter
86304	Saccharophagus
1549858	Sphingomonas
562	Escherichia
2033	Microbacterium
1085624	Persicobacter
38301	Corynebacterium
67825	Citrobacter
1630693	Gemmata
104336	Microbacterium
28129	Prevotella
60133	Prevotella
37727	Talaromyces
216778	Stenotrophomonas
43305	Butyrivibrio
40324	Stenotrophomonas
28449	Neisseria
759620	Weissella
82633	Cupriavidus
1148157	Acinetobacter
839	Prevotella
347	Xanthomonas
480	Moraxella
730	[Haemophilus]
34029	Leptothrix
5059	Aspergillus
729	Haemophilus
231932	Phanerochaete
40542	Leptotrichia
1017	Capnocytophaga
119219	Cupriavidus
221027	Treponema
354356	Niastella
80869	Acidovorax
1648404	Erythrobacter
1379870	Spirosoma
34073	Variovorax
192843	Rhodoferax
1283	Staphylococcus
152480	Burkholderia
31998	Methylobacterium
542	Zymomonas
777	Coxiella
114155	Dichomitus
397260	Sphingomonas
851	Fusobacterium
187327	Acidaminococcus
46124	Granulicatella
28112	Tannerella
185300	Paludibacter
489	Neisseria
818	Bacteroides
77020	Malassezia
69823	Selenomonas
1313	Streptococcus
45634	Streptococcus
342113	Burkholderia
76775	Malassezia
28132	Prevotella
28037	Streptococcus
971	Selenomonas
1496	Clostridioides
327575	Capnocytophaga
28118	Odoribacter
1305	Streptococcus
148447	Paraburkholderia
487	Neisseria
1902136	Streptococcus
940615	Granulicella
43669	Brachybacterium
589436	Prevotella
328814	Alistipes
76517	Campylobacter
53346	Enterococcus
1018	Capnocytophaga
495	Neisseria
1382	Lancefieldella
290053	Bacteroides
85085	Pseudarthrobacter
59505	Actinotignum
43675	Rothia
187326	Megasphaera
46125	Abiotrophia
486	Neisseria
200	Campylobacter
907	Megasphaera
712633	Streptococcus
93220	Pandoraea
1314	Streptococcus
1308	Streptococcus
539	Eikenella
28188	Capnocytophaga
150055	Streptococcus
905	Acidaminococcus
1396	Bacillus
28264	Arcanobacterium
2051	Mobiluncus
36861	Thiobacillus
310514	Prevotella
817	Bacteroides
35814	Bordetella
1642646	Petrimonas
214856	Alistipes
652716	Prevotella
52773	Schaalia
39950	Dialister
66219	Lachnoclostridium
837	Porphyromonas
1590	Lactiplantibacillus
76122	Alloprevotella
143393	[Eubacterium]
252970	Paraburkholderia
1282	Staphylococcus
1351	Enterococcus
28124	Porphyromonas
33033	Parvimonas
1349	Streptococcus
301301	Roseburia
1648	Erysipelothrix
208960	Fomitiporia
208226	Alkaliphilus
260714	Campylobacter
821	Phocaeicola
1661	Trueperella
33034	Anaerococcus
1646	Renibacterium
33952	Acetobacterium
196	Campylobacter
393921	Porphyromonas
2751	Carnobacterium
826	Sebaldella
397865	Barnesiella
137732	Granulicatella
1329899	Cycloclasticus
652787	Mucilaginibacter
2124	Mycoplasma
870	Dichelobacter
669041	Tenacibaculum
2047	Rothia
28131	Prevotella
1731	Peptoclostridium
93221	Pandoraea
41976	Porphyromonas
132920	Exiguobacterium
1156431	Streptococcus
43674	Jonesia
376805	Phocaeicola
412963	Paraburkholderia
